CIDADE,QTD,NM_MUNICIPIO,QT_VOTOS,SCORE_OPORTUNIDADE,SCORE_DENTISTAS,SCORE_VOTOS_PL,SCORE_ROI,SCORE_FINAL,TIER,EXPLICACAO,CIDADE_NORM,DELEGACIA_CRO,mesorregiao-nome,regiao-intermediaria-nome
POUSO ALEGRE,896.0,POUSO ALEGRE,86953,38954.944,9.88,9.81,7.0,9.14,A,"Dentistas: 896 → score 9.88 | Votos PL/Nikolas: 86,953 → score 9.81 | ROI: município médio-grande → score 7.0",POUSO ALEGRE,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
VARGINHA,827.0,VARGINHA,82966,34306.441,9.85,9.8,7.0,9.12,A,"Dentistas: 827 → score 9.85 | Votos PL/Nikolas: 82,966 → score 9.8 | ROI: município médio-grande → score 7.0",VARGINHA,Alfenas,Sul/Sudoeste de Minas,Varginha
BARBACENA,847.0,BARBACENA,79994,33877.459,9.86,9.78,7.0,9.12,A,"Dentistas: 847 → score 9.86 | Votos PL/Nikolas: 79,994 → score 9.78 | ROI: município médio-grande → score 7.0",BARBACENA,Juiz de Fora,Campo das Vertentes,Barbacena
TEÓFILO OTONI,869.0,TEÓFILO OTONI,77098,33499.081,9.87,9.75,7.0,9.11,A,"Dentistas: 869 → score 9.87 | Votos PL/Nikolas: 77,098 → score 9.75 | ROI: município médio-grande → score 7.0",TEÓFILO OTONI,Teófilo Otoni,Vale do Mucuri,Teófilo Otoni
CONSELHEIRO LAFAIETE,676.0,CONSELHEIRO LAFAIETE,81117,27417.546,9.78,9.79,7.0,9.09,A,"Dentistas: 676 → score 9.78 | Votos PL/Nikolas: 81,117 → score 9.79 | ROI: município médio-grande → score 7.0",CONSELHEIRO LAFAIETE,Juiz de Fora,Metropolitana de Belo Horizonte,Barbacena
NOVA LIMA,749.0,NOVA LIMA,61685,23101.0325,9.82,9.66,7.0,9.06,A,"Dentistas: 749 → score 9.82 | Votos PL/Nikolas: 61,685 → score 9.66 | ROI: município médio-grande → score 7.0",NOVA LIMA,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
ITABIRA,618.0,ITABIRA,74681,23076.429,9.74,9.74,7.0,9.06,A,"Dentistas: 618 → score 9.74 | Votos PL/Nikolas: 74,681 → score 9.74 | ROI: município médio-grande → score 7.0",ITABIRA,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
ALFENAS,938.0,ALFENAS,46998,22042.062,9.91,9.46,7.0,9.02,A,"Dentistas: 938 → score 9.91 | Votos PL/Nikolas: 46,998 → score 9.46 | ROI: município médio-grande → score 7.0",ALFENAS,Alfenas,Sul/Sudoeste de Minas,Varginha
IBIRITÉ,407.0,IBIRITÉ,101610,20677.635,9.52,9.85,10.0,9.76,A,"Dentistas: 407 → score 9.52 | Votos PL/Nikolas: 101,610 → score 9.85 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",IBIRITÉ,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
ARAGUARI,565.0,ARAGUARI,69072,19512.84,9.69,9.72,7.0,9.03,A,"Dentistas: 565 → score 9.69 | Votos PL/Nikolas: 69,072 → score 9.72 | ROI: município médio-grande → score 7.0",ARAGUARI,Uberlândia,Triângulo Mineiro/Alto Paranaíba,Uberlândia
MURIAÉ,569.0,MURIAÉ,62808,17868.876,9.71,9.69,7.0,9.03,A,"Dentistas: 569 → score 9.71 | Votos PL/Nikolas: 62,808 → score 9.69 | ROI: município médio-grande → score 7.0",MURIAÉ,Juiz de Fora,Zona da Mata,Juíz de Fora
LAVRAS,603.0,LAVRAS,59133,17828.5995,9.73,9.65,7.0,9.02,A,"Dentistas: 603 → score 9.73 | Votos PL/Nikolas: 59,133 → score 9.65 | ROI: município médio-grande → score 7.0",LAVRAS,Alfenas,Campo das Vertentes,Varginha
SABARÁ,453.0,SABARÁ,77953,17656.3545,9.56,9.76,10.0,9.74,A,"Dentistas: 453 → score 9.56 | Votos PL/Nikolas: 77,953 → score 9.76 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SABARÁ,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
UBÁ,569.0,UBÁ,57243,16285.6335,9.71,9.62,7.0,9.0,A,"Dentistas: 569 → score 9.71 | Votos PL/Nikolas: 57,243 → score 9.62 | ROI: município médio-grande → score 7.0",UBÁ,Juiz de Fora,Zona da Mata,Juíz de Fora
PASSOS,510.0,PASSOS,62141,15845.955,9.67,9.68,7.0,9.01,A,"Dentistas: 510 → score 9.67 | Votos PL/Nikolas: 62,141 → score 9.68 | ROI: município médio-grande → score 7.0",PASSOS,Alfenas,Sul/Sudoeste de Minas,Varginha
ARAXÁ,502.0,ARAXÁ,62900,15787.9,9.63,9.71,7.0,9.0,A,"Dentistas: 502 → score 9.63 | Votos PL/Nikolas: 62,900 → score 9.71 | ROI: município médio-grande → score 7.0",ARAXÁ,Uberaba,Triângulo Mineiro/Alto Paranaíba,Uberaba
CORONEL FABRICIANO,473.0,CORONEL FABRICIANO,61975,14657.0875,9.6,9.67,10.0,9.72,A,"Dentistas: 473 → score 9.6 | Votos PL/Nikolas: 61,975 → score 9.67 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CORONEL FABRICIANO,Ipatinga,Vale do Rio Doce,Ipatinga
ITAÚNA,505.0,ITAÚNA,57226,14449.565,9.66,9.61,7.0,8.98,A,"Dentistas: 505 → score 9.66 | Votos PL/Nikolas: 57,226 → score 9.61 | ROI: município médio-grande → score 7.0",ITAÚNA,Divinópolis,Oeste de Minas,Divinópolis
SÃO JOÃO DEL REI,496.0,SÃO JOÃO DEL REI,56611,14039.527999999998,9.62,9.59,10.0,9.7,A,"Dentistas: 496 → score 9.62 | Votos PL/Nikolas: 56,611 → score 9.59 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SÃO JOÃO DEL REI,Juiz de Fora,Campo das Vertentes,Barbacena
VESPASIANO,379.0,VESPASIANO,71207,13493.7265,9.48,9.73,10.0,9.7,A,"Dentistas: 379 → score 9.48 | Votos PL/Nikolas: 71,207 → score 9.73 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",VESPASIANO,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
CARATINGA,543.0,CARATINGA,48266,13104.219,9.68,9.5,7.0,8.95,A,"Dentistas: 543 → score 9.68 | Votos PL/Nikolas: 48,266 → score 9.5 | ROI: município médio-grande → score 7.0",CARATINGA,Ipatinga,Vale do Rio Doce,Ipatinga
PARÁ DE MINAS,476.0,PARÁ DE MINAS,52759,12556.642,9.61,9.56,10.0,9.69,A,"Dentistas: 476 → score 9.61 | Votos PL/Nikolas: 52,759 → score 9.56 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PARÁ DE MINAS,Divinópolis,Metropolitana de Belo Horizonte,Divinópolis
ITAJUBÁ,419.0,ITAJUBÁ,56774,11894.153,9.54,9.6,10.0,9.68,A,"Dentistas: 419 → score 9.54 | Votos PL/Nikolas: 56,774 → score 9.6 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITAJUBÁ,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
MANHUAÇU,503.0,MANHUAÇU,46738,11754.607,9.65,9.45,7.0,8.92,A,"Dentistas: 503 → score 9.65 | Votos PL/Nikolas: 46,738 → score 9.45 | ROI: município médio-grande → score 7.0",MANHUAÇU,Juiz de Fora,Zona da Mata,Juíz de Fora
VIÇOSA,465.0,VIÇOSA,48280,11225.1,9.58,9.52,10.0,9.66,A,"Dentistas: 465 → score 9.58 | Votos PL/Nikolas: 48,280 → score 9.52 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",VIÇOSA,Juiz de Fora,Zona da Mata,Juíz de Fora
ITUIUTABA,373.0,ITUIUTABA,58438,10898.687,9.43,9.63,10.0,9.64,A,"Dentistas: 373 → score 9.43 | Votos PL/Nikolas: 58,438 → score 9.63 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITUIUTABA,Uberlândia,Triângulo Mineiro/Alto Paranaíba,Uberlândia
JOÃO MONLEVADE,441.0,JOÃO MONLEVADE,47815,10543.2075,9.55,9.48,10.0,9.64,A,"Dentistas: 441 → score 9.55 | Votos PL/Nikolas: 47,815 → score 9.48 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",JOÃO MONLEVADE,Ipatinga,Metropolitana de Belo Horizonte,Ipatinga
TRÊS CORAÇÕES,472.0,TRÊS CORAÇÕES,44458,10492.088,9.59,9.42,10.0,9.63,A,"Dentistas: 472 → score 9.59 | Votos PL/Nikolas: 44,458 → score 9.42 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",TRÊS CORAÇÕES,Alfenas,Sul/Sudoeste de Minas,Varginha
PATROCÍNIO,376.0,PATROCÍNIO,52936,9951.968,9.46,9.58,10.0,9.64,A,"Dentistas: 376 → score 9.46 | Votos PL/Nikolas: 52,936 → score 9.58 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PATROCÍNIO,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,Patos de Minas
TIMÓTEO,378.0,TIMÓTEO,47174,8915.886,9.47,9.47,10.0,9.6,A,"Dentistas: 378 → score 9.47 | Votos PL/Nikolas: 47,174 → score 9.47 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",TIMÓTEO,Ipatinga,Vale do Rio Doce,Ipatinga
OURO PRETO,316.0,OURO PRETO,51806,8185.348,9.35,9.55,10.0,9.58,A,"Dentistas: 316 → score 9.35 | Votos PL/Nikolas: 51,806 → score 9.55 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",OURO PRETO,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
CURVELO,341.0,CURVELO,45925,7830.2125,9.38,9.43,10.0,9.55,A,"Dentistas: 341 → score 9.38 | Votos PL/Nikolas: 45,925 → score 9.43 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CURVELO,BH — Sede,Central Mineira,Belo Horizonte
JANAÚBA,375.0,JANAÚBA,40823,7654.3125,9.45,9.36,10.0,9.56,A,"Dentistas: 375 → score 9.45 | Votos PL/Nikolas: 40,823 → score 9.36 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",JANAÚBA,Montes Claros,Norte de Minas,Montes Claros
FORMIGA,348.0,FORMIGA,43052,7491.048,9.39,9.41,10.0,9.55,A,"Dentistas: 348 → score 9.39 | Votos PL/Nikolas: 43,052 → score 9.41 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",FORMIGA,Divinópolis,Oeste de Minas,Divinópolis
PONTE NOVA,414.0,PONTE NOVA,36017,7455.519,9.53,9.3,10.0,9.57,A,"Dentistas: 414 → score 9.53 | Votos PL/Nikolas: 36,017 → score 9.3 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PONTE NOVA,Juiz de Fora,Zona da Mata,Juíz de Fora
LAGOA SANTA,351.0,LAGOA SANTA,40082,7034.3910000000005,9.4,9.35,10.0,9.53,A,"Dentistas: 351 → score 9.4 | Votos PL/Nikolas: 40,082 → score 9.35 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",LAGOA SANTA,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
SÃO SEBASTIÃO DO PARAÍSO,368.0,SÃO SEBASTIÃO DO PARAÍSO,38103,7010.952,9.42,9.33,10.0,9.53,A,"Dentistas: 368 → score 9.42 | Votos PL/Nikolas: 38,103 → score 9.33 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SÃO SEBASTIÃO DO PARAÍSO,Alfenas,Sul/Sudoeste de Minas,Varginha
MARIANA,329.0,MARIANA,40868,6722.786,9.36,9.38,10.0,9.53,A,"Dentistas: 329 → score 9.36 | Votos PL/Nikolas: 40,868 → score 9.38 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MARIANA,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
NOVA SERRANA,273.0,NOVA SERRANA,48470,6616.155,9.3,9.53,10.0,9.56,A,"Dentistas: 273 → score 9.3 | Votos PL/Nikolas: 48,470 → score 9.53 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",NOVA SERRANA,Divinópolis,Oeste de Minas,Divinópolis
UNAÍ,269.0,UNAÍ,47930,6446.585,9.29,9.49,10.0,9.54,A,"Dentistas: 269 → score 9.29 | Votos PL/Nikolas: 47,930 → score 9.49 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",UNAÍ,Patos de Minas,Noroeste de Minas,Patos de Minas
PARACATU,246.0,PARACATU,51033,6277.059,9.23,9.54,10.0,9.53,A,"Dentistas: 246 → score 9.23 | Votos PL/Nikolas: 51,033 → score 9.54 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PARACATU,Patos de Minas,Noroeste de Minas,Patos de Minas
CAMPO BELO,385.0,CAMPO BELO,30266,5826.205,9.49,9.22,10.0,9.52,A,"Dentistas: 385 → score 9.49 | Votos PL/Nikolas: 30,266 → score 9.22 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CAMPO BELO,Alfenas,Oeste de Minas,Varginha
DIAMANTINA,399.0,DIAMANTINA,28448,5675.376,9.5,9.16,10.0,9.51,A,"Dentistas: 399 → score 9.5 | Votos PL/Nikolas: 28,448 → score 9.16 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",DIAMANTINA,Teófilo Otoni,Jequitinhonha,Teófilo Otoni
CATAGUASES,274.0,CATAGUASES,41375,5668.375,9.32,9.4,10.0,9.52,A,"Dentistas: 274 → score 9.32 | Votos PL/Nikolas: 41,375 → score 9.4 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CATAGUASES,Juiz de Fora,Zona da Mata,Juíz de Fora
CONGONHAS,285.0,CONGONHAS,35112,5003.46,9.33,9.28,10.0,9.48,A,"Dentistas: 285 → score 9.33 | Votos PL/Nikolas: 35,112 → score 9.28 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CONGONHAS,Juiz de Fora,Metropolitana de Belo Horizonte,Barbacena
SÃO LOURENÇO,368.0,SÃO LOURENÇO,26811,4933.224,9.42,9.08,10.0,9.45,A,"Dentistas: 368 → score 9.42 | Votos PL/Nikolas: 26,811 → score 9.08 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SÃO LOURENÇO,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
TRÊS PONTAS,267.0,TRÊS PONTAS,36242,4838.307,9.27,9.32,10.0,9.47,A,"Dentistas: 267 → score 9.27 | Votos PL/Nikolas: 36,242 → score 9.32 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",TRÊS PONTAS,Alfenas,Sul/Sudoeste de Minas,Varginha
ITABIRITO,262.0,ITABIRITO,34562,4527.621999999999,9.26,9.27,10.0,9.45,A,"Dentistas: 262 → score 9.26 | Votos PL/Nikolas: 34,562 → score 9.27 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITABIRITO,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
PEDRO LEOPOLDO,224.0,PEDRO LEOPOLDO,39529,4427.2480000000005,9.17,9.34,10.0,9.44,A,"Dentistas: 224 → score 9.17 | Votos PL/Nikolas: 39,529 → score 9.34 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PEDRO LEOPOLDO,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
BOM DESPACHO,288.0,BOM DESPACHO,30008,4321.152,9.34,9.2,10.0,9.46,A,"Dentistas: 288 → score 9.34 | Votos PL/Nikolas: 30,008 → score 9.2 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",BOM DESPACHO,Divinópolis,Central Mineira,Divinópolis
JANUÁRIA,235.0,JANUÁRIA,35350,4153.625,9.22,9.29,10.0,9.44,A,"Dentistas: 235 → score 9.22 | Votos PL/Nikolas: 35,350 → score 9.29 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",JANUÁRIA,Montes Claros,Norte de Minas,Montes Claros
FRUTAL,267.0,FRUTAL,30841,4117.2735,9.27,9.23,10.0,9.44,A,"Dentistas: 267 → score 9.27 | Votos PL/Nikolas: 30,841 → score 9.23 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",FRUTAL,Uberaba,Triângulo Mineiro/Alto Paranaíba,Uberaba
PIRAPORA,249.0,PIRAPORA,31125,3875.0625,9.25,9.25,10.0,9.44,A,"Dentistas: 249 → score 9.25 | Votos PL/Nikolas: 31,125 → score 9.25 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PIRAPORA,Montes Claros,Norte de Minas,Montes Claros
LEOPOLDINA,231.0,LEOPOLDINA,31788,3671.514,9.2,9.26,10.0,9.42,A,"Dentistas: 231 → score 9.2 | Votos PL/Nikolas: 31,788 → score 9.26 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",LEOPOLDINA,Juiz de Fora,Zona da Mata,Juíz de Fora
GUAXUPÉ,216.0,GUAXUPÉ,29817,3220.236,9.15,9.19,10.0,9.38,A,"Dentistas: 216 → score 9.15 | Votos PL/Nikolas: 29,817 → score 9.19 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",GUAXUPÉ,Alfenas,Sul/Sudoeste de Minas,Varginha
LAGOA DA PRATA,215.0,LAGOA DA PRATA,28483,3061.9225,9.13,9.17,10.0,9.36,A,"Dentistas: 215 → score 9.13 | Votos PL/Nikolas: 28,483 → score 9.17 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",LAGOA DA PRATA,Divinópolis,Central Mineira,Divinópolis
MONTE CARMELO,215.0,MONTE CARMELO,28060,3016.45,9.13,9.1,10.0,9.34,A,"Dentistas: 215 → score 9.13 | Votos PL/Nikolas: 28,060 → score 9.1 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MONTE CARMELO,Uberlândia,Triângulo Mineiro/Alto Paranaíba,Uberlândia
BOCAIÚVA,204.0,BOCAIÚVA,28095,2865.69,9.08,9.12,10.0,9.32,A,"Dentistas: 204 → score 9.08 | Votos PL/Nikolas: 28,095 → score 9.12 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",BOCAIÚVA,Montes Claros,Norte de Minas,Montes Claros
EXTREMA,195.0,EXTREMA,28303,2759.5425,9.06,9.14,10.0,9.32,A,"Dentistas: 195 → score 9.06 | Votos PL/Nikolas: 28,303 → score 9.14 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",EXTREMA,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
JOÃO PINHEIRO,191.0,JOÃO PINHEIRO,28202,2693.291,9.0,9.13,10.0,9.3,A,"Dentistas: 191 → score 9.0 | Votos PL/Nikolas: 28,202 → score 9.13 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",JOÃO PINHEIRO,Patos de Minas,Noroeste de Minas,Patos de Minas
BRUMADINHO,202.0,BRUMADINHO,25974,2623.374,9.07,9.04,10.0,9.29,A,"Dentistas: 202 → score 9.07 | Votos PL/Nikolas: 25,974 → score 9.04 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",BRUMADINHO,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
OLIVEIRA,191.0,OLIVEIRA,26737,2553.3835,9.0,9.07,10.0,9.27,A,"Dentistas: 191 → score 9.0 | Votos PL/Nikolas: 26,737 → score 9.07 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",OLIVEIRA,Divinópolis,Oeste de Minas,Divinópolis
ITURAMA,221.0,ITURAMA,22645,2502.2725,9.16,8.92,10.0,9.29,A,"Dentistas: 221 → score 9.16 | Votos PL/Nikolas: 22,645 → score 8.92 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITURAMA,Uberaba,Triângulo Mineiro/Alto Paranaíba,Uberaba
BOA ESPERANÇA,205.0,BOA ESPERANÇA,24351,2495.9775,9.09,9.0,10.0,9.29,A,"Dentistas: 205 → score 9.09 | Votos PL/Nikolas: 24,351 → score 9.0 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",BOA ESPERANÇA,Alfenas,Sul/Sudoeste de Minas,Varginha
SANTOS DUMONT,166.0,SANTOS DUMONT,30060,2494.98,8.93,9.21,10.0,9.3,A,"Dentistas: 166 → score 8.93 | Votos PL/Nikolas: 30,060 → score 9.21 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SANTOS DUMONT,Juiz de Fora,Zona da Mata,Juíz de Fora
CAPELINHA,226.0,CAPELINHA,21653,2446.789,9.19,8.89,10.0,9.29,A,"Dentistas: 226 → score 9.19 | Votos PL/Nikolas: 21,653 → score 8.89 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CAPELINHA,Teófilo Otoni,Jequitinhonha,Teófilo Otoni
OURO BRANCO,185.0,OURO BRANCO,25576,2365.78,8.97,9.03,10.0,9.25,A,"Dentistas: 185 → score 8.97 | Votos PL/Nikolas: 25,576 → score 9.03 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",OURO BRANCO,Juiz de Fora,Metropolitana de Belo Horizonte,Barbacena
ARCOS,176.0,ARCOS,26026,2290.288,8.96,9.06,10.0,9.26,A,"Dentistas: 176 → score 8.96 | Votos PL/Nikolas: 26,026 → score 9.06 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ARCOS,Divinópolis,Oeste de Minas,Divinópolis
MACHADO,193.0,MACHADO,23678,2284.927,9.03,8.94,10.0,9.24,A,"Dentistas: 193 → score 9.03 | Votos PL/Nikolas: 23,678 → score 8.94 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MACHADO,Alfenas,Sul/Sudoeste de Minas,Varginha
ESMERALDAS,108.0,ESMERALDAS,41224,2226.096,8.36,9.39,10.0,9.13,A,"Dentistas: 108 → score 8.36 | Votos PL/Nikolas: 41,224 → score 9.39 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ESMERALDAS,BH — Sede,Metropolitana de Belo Horizonte,Belo Horizonte
SANTA RITA DO SAPUCAÍ,175.0,SANTA RITA DO SAPUCAÍ,24950,2183.125,8.95,9.01,10.0,9.23,A,"Dentistas: 175 → score 8.95 | Votos PL/Nikolas: 24,950 → score 9.01 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SANTA RITA DO SAPUCAÍ,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
ALMENARA,186.0,ALMENARA,21984,2044.512,8.99,8.9,10.0,9.21,A,"Dentistas: 186 → score 8.99 | Votos PL/Nikolas: 21,984 → score 8.9 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ALMENARA,Teófilo Otoni,Jequitinhonha,Teófilo Otoni
